,Aircraft,Flight Phase,Date,Fault Text,Report Maintenance
77,2640,Descent,2008-11-22 00:16:00,FDE_A_System1,RMA_F_System1
78,2640,Engine Start,2008-12-03 08:14:00,FDE_A_System3,RMA_E_System3
79,2640,Engine Start,2008-12-03 08:14:00,FDE_D_System3,RMA_E_System3
80,2640,Enroute Cruise,2008-12-13 16:20:00,FDE_E_System1,RMA_F_System1
81,2640,Enroute Cruise,2008-12-13 16:20:00,FDE_A_System1,RMA_F_System1
82,2640,Enroute Cruise,2008-12-18 19:42:00,FDE_E_System1,RMA_F_System1
83,2640,Enroute Cruise,2008-12-18 19:42:00,FDE_A_System1,RMA_F_System1
84,2640,Descent,2008-12-29 12:33:00,FDE_B_System3,RMA_A_System3
85,2640,Descent,2008-12-29 12:33:00,FDE_C_System3,RMA_A_System3
86,2640,,2009-01-07 02:11:00,FDE_G_System3,
87,2640,Descent,2009-01-07 12:31:00,FDE_B_System3,RMA_B_System3
88,2640,Descent,2009-01-07 12:31:00,FDE_B_System3,RMA_A_System3
89,2640,Descent,2009-01-07 12:31:00,FDE_C_System3,RMA_B_System3
90,2640,Descent,2009-01-07 12:31:00,FDE_C_System3,RMA_A_System3
91,2640,,2009-01-07 12:31:00,FDE_G_System3,
92,2640,Enroute Cruise,2009-01-08 02:09:00,FDE_B_System3,RMA_B_System3
93,2640,Enroute Cruise,2009-01-08 02:09:00,FDE_B_System3,RMA_A_System3
94,2640,Enroute Cruise,2009-01-08 02:09:00,FDE_C_System3,RMA_B_System3
95,2640,Enroute Cruise,2009-01-08 02:09:00,FDE_C_System3,RMA_A_System3
96,2640,Engine Start,2009-01-08 15:22:00,FDE_F_System3,RMA_L_System3
97,2640,,2009-01-08 15:22:00,FDE_B_System3,
98,2640,,2009-01-08 15:22:00,FDE_F_System3,
99,2640,,2009-01-08 15:22:00,FDE_G_System3,
100,2640,,2009-01-09 04:35:00,FDE_Other10,
101,2640,,2009-01-09 04:35:00,FDE_Other11,
102,2640,Engine Start,2009-01-09 04:35:00,FDE_F_System3,RMA_L_System3
103,2640,,2009-01-09 04:35:00,FDE_B_System3,
104,2640,,2009-01-09 04:35:00,FDE_F_System3,
105,2640,,2009-01-09 04:35:00,FDE_G_System3,
106,2640,Engine Start,2009-01-10 15:19:00,FDE_F_System3,RMA_L_System3
107,2640,Taxi-Out,2009-01-11 02:04:00,FDE_F_System3,RMA_L_System3
108,2640,Engine Start,2009-01-11 11:04:00,FDE_F_System3,RMA_L_System3
109,2640,Descent,2009-01-11 21:08:00,FDE_A_System1,RMA_F_System1
110,2640,Engine Start,2009-01-11 21:08:00,FDE_F_System3,RMA_L_System3
111,2640,Descent,2009-01-11 21:08:00,FDE_E_System1,RMA_F_System1
112,2640,Engine Start,2009-01-12 12:33:00,FDE_F_System3,RMA_L_System3
113,2640,,2009-01-12 12:33:00,FDE_Other12,
114,2640,,2009-01-12 12:33:00,FDE_F_System3,
115,2640,,2009-01-12 12:33:00,FDE_G_System3,
116,2640,Taxi-Out,2009-01-13 02:07:00,FDE_F_System3,RMA_L_System3
117,2640,Taxi-Out,2009-01-13 02:11:00,FDE_F_System3,RMA_L_System3
118,2640,Enroute Cruise,2007-08-19 20:32:00,FDE_C_System4,RMA_A_System4
119,2640,Enroute Cruise,2007-08-19 20:32:00,FDE_B_System4,RMA_A_System4
120,2640,Enroute Cruise,2007-08-23 07:50:00,FDE_C_System4,RMA_A_System4
121,2640,Enroute Cruise,2007-08-23 07:50:00,FDE_B_System4,RMA_A_System4
122,2640,Enroute Cruise,2007-08-24 10:56:00,FDE_C_System4,RMA_A_System4
123,2640,Enroute Cruise,2007-08-24 10:56:00,FDE_B_System4,RMA_A_System4
124,2640,Descent,2007-09-04 07:56:00,FDE_C_System4,RMA_A_System4
125,2640,Descent,2007-09-04 07:56:00,FDE_B_System4,RMA_A_System4
126,2640,Descent,2007-09-07 00:02:00,FDE_C_System4,RMA_A_System4
127,2640,Descent,2007-09-07 00:02:00,FDE_B_System4,RMA_A_System4
128,2640,Enroute Cruise,2007-09-09 20:14:00,FDE_C_System4,RMA_A_System4
129,2640,Enroute Cruise,2007-09-09 20:14:00,FDE_B_System4,RMA_A_System4
130,2640,Enroute Cruise,2007-09-14 03:07:00,FDE_F_System4,RMA_L_System4
131,2640,Enroute Cruise,2007-09-14 03:07:00,FDE_F_System4,RMA_L_System4
132,2640,Engine Start,2007-09-14 15:42:00,FDE_F_System4,RMA_L_System4
133,2640,,2007-09-14 15:42:00,FDE_F_System4,
134,2640,Engine Start,2007-09-15 03:33:00,FDE_F_System4,RMA_L_System4
135,2640,,2007-09-15 03:33:00,FDE_F_System4,
136,2640,,2007-09-15 16:07:00,FDE_Other12,
137,2640,Descent,2007-09-15 16:07:00,FDE_F_System4,RMA_K_System4
138,2640,Engine Start,2007-09-15 16:07:00,FDE_F_System4,RMA_L_System4
139,2640,,2007-09-15 16:07:00,FDE_F_System4,
140,2640,Taxi-Out,2007-09-16 02:32:00,FDE_F_System4,RMA_K_System4
141,2640,Engine Start,2007-09-16 02:32:00,FDE_F_System4,RMA_L_System4
142,2640,,2007-09-16 02:32:00,FDE_F_System4,
143,2640,Engine Start,2007-09-17 08:13:00,FDE_F_System4,RMA_L_System4
144,2640,,2007-09-17 08:13:00,FDE_F_System4,
145,2640,Taxi-Out,2007-09-17 20:11:00,FDE_F_System4,RMA_K_System4
146,2640,Engine Start,2007-09-17 20:11:00,FDE_F_System4,RMA_L_System4
147,2640,,2007-09-17 20:11:00,FDE_F_System4,
148,2640,,2007-09-18 08:04:00,FDE_Other12,
149,2640,Descent,2007-09-18 08:04:00,FDE_F_System4,RMA_K_System4
150,2640,Engine Start,2007-09-18 08:04:00,FDE_F_System4,RMA_L_System4
151,2640,,2007-09-18 08:04:00,FDE_F_System4,
152,2640,Engine Start,2007-09-18 19:55:00,FDE_F_System4,RMA_L_System4
153,2640,Engine Start,2007-09-18 19:55:00,FDE_F_System4,RMA_L_System4
154,2640,Climb,2007-09-27 15:15:00,FDE_G_System2,RMA_I_System2
155,2640,Taxi-Out,2007-09-27 15:15:00,FDE_G_System2,RMA_D_System2
156,2640,Taxi-Out,2007-09-28 10:58:00,FDE_G_System2,RMA_D_System2
157,2640,Enroute Cruise,2007-09-28 21:11:00,FDE_G_System2,RMA_I_System2
158,2640,Taxi-Out,2007-09-28 21:11:00,FDE_G_System2,RMA_D_System2
159,2640,Power On,2007-10-04 02:50:00,FDE_Other03,RMA_Other13
160,2640,Taxi-in,2007-10-04 02:50:00,FDE_Other00,RMA_Other02
161,2640,Taxi-in,2007-10-04 02:50:00,FDE_Other00,RMA_Other02
162,2640,Power On,2007-10-04 02:50:00,FDE_Other04,RMA_Other13
163,2640,Climb,2007-10-16 20:08:00,FDE_E_System4,RMA_F_System4
164,2640,Climb,2007-10-16 20:08:00,FDE_A_System4,RMA_F_System4
165,2640,Descent,2007-10-26 15:23:00,FDE_C_System4,RMA_A_System4
166,2640,Descent,2007-10-26 15:23:00,FDE_B_System4,RMA_A_System4
167,2640,,2007-11-04 02:37:00,FDE_G_System3,
168,2640,Initial Climb,2007-11-05 02:13:00,FDE_A_System3,RMA_F_System3
169,2640,,2007-11-05 02:13:00,FDE_G_System3,
170,2640,Initial Climb,2007-11-05 02:13:00,FDE_E_System3,RMA_F_System3
171,2640,Initial Climb,2007-11-05 15:28:00,FDE_A_System3,RMA_F_System3
172,2640,Initial Climb,2007-11-05 15:28:00,FDE_E_System3,RMA_F_System3
173,2640,Engine Start,2007-11-06 03:07:00,FDE_F_System3,RMA_L_System3
174,2640,Engine Start,2007-11-07 04:34:00,FDE_F_System3,RMA_L_System3
175,2640,,2007-11-08 08:01:00,FDE_G_System3,
176,2640,,2007-11-08 20:02:00,FDE_G_System3,
177,2640,,2007-11-09 07:48:00,FDE_G_System3,
178,2640,Taxi-Out,2007-11-09 20:53:00,FDE_G_System3,RMA_D_System3
179,2640,,2007-11-10 10:44:00,FDE_G_System3,
180,2640,,2007-11-10 23:56:00,FDE_G_System3,
181,2640,,2007-11-11 12:56:00,FDE_G_System3,
182,2640,Leg Transition,2007-11-17 20:53:00,FDE_Other03,RMA_Other13
183,2640,Leg Transition,2007-11-17 20:53:00,FDE_Other04,RMA_Other13
184,2640,Enroute Cruise,2007-11-25 04:35:00,FDE_Other02,RMA_Other12
185,2640,Enroute Cruise,2007-11-25 04:35:00,FDE_Other02,RMA_Other12
186,2640,Power On,2008-05-20 09:30:00,FDE_Other01,RMA_Other03
187,2640,Power On,2008-05-20 09:30:00,FDE_Other01,RMA_Other03
188,2982,Leg Transition,2006-06-07 13:40:00,FDE_Other01,RMA_Other03
189,2982,Leg Transition,2006-06-07 13:40:00,FDE_Other01,RMA_Other03
190,2982,Power On,2006-09-14 16:03:00,FDE_Other00,RMA_Other04
191,2982,Power On,2006-09-14 16:03:00,FDE_Other00,RMA_Other04
192,2982,,2006-10-05 21:35:00,FDE_G_System1,
193,2982,,2006-10-06 15:18:00,FDE_G_System1,
194,2982,Taxi-Out,2006-10-07 04:29:00,FDE_G_System1,RMA_D_System1
195,2982,,2006-10-07 19:04:00,FDE_G_System1,
196,2982,,2006-10-08 06:25:00,FDE_G_System1,
197,2982,,2006-10-22 19:29:00,FDE_F_System1,
198,2982,Power On,2006-11-17 21:20:00,FDE_Other01,RMA_Other03
199,2982,Power On,2006-11-17 21:20:00,FDE_Other01,RMA_Other03
200,2982,Descent,2006-11-29 19:52:00,FDE_F_System1,RMA_M_System1
201,2982,Descent,2006-11-29 19:52:00,FDE_A_System1,RMA_M_System1
202,2982,Descent,2006-12-15 10:55:00,FDE_F_System1,RMA_M_System1
203,2982,Descent,2006-12-15 10:55:00,FDE_A_System1,RMA_M_System1
204,2982,Power On,2007-01-19 15:51:00,FDE_Other00,RMA_Other04
205,2982,Power On,2007-01-19 15:51:00,FDE_Other00,RMA_Other04
206,2982,,2007-03-03 16:12:00,FDE_G_System3,
207,2982,Power On,2007-05-08 16:09:00,FDE_Other02,RMA_Other00
208,2982,Power On,2007-05-08 16:09:00,FDE_Other02,RMA_Other00
209,2982,Engine Start,2007-05-26 15:58:00,FDE_D_System3,RMA_E_System3
210,2982,Engine Start,2007-05-26 15:58:00,FDE_A_System3,RMA_E_System3
211,2982,Engine Start,2007-05-27 16:45:00,FDE_A_System3,RMA_E_System3
212,2982,Engine Start,2007-05-27 16:45:00,FDE_D_System3,RMA_E_System3
213,2982,Engine Start,2007-05-28 05:36:00,FDE_A_System3,RMA_E_System3
214,2982,Engine Start,2007-05-28 05:36:00,FDE_D_System3,RMA_E_System3
215,2982,Engine Start,2007-05-28 20:30:00,FDE_D_System3,RMA_E_System3
216,2982,Engine Start,2007-05-28 20:30:00,FDE_A_System3,RMA_E_System3
217,2982,Engine Start,2007-05-29 15:55:00,FDE_D_System3,RMA_E_System3
218,2982,Engine Start,2007-05-29 15:55:00,FDE_A_System3,RMA_E_System3
219,2982,,2007-06-17 10:49:00,FDE_G_System1,
220,2982,Descent,2008-04-27 05:29:00,FDE_F_System1,RMA_M_System1
221,2982,Descent,2008-04-27 05:29:00,FDE_A_System1,RMA_M_System1
222,2982,Descent,2008-06-02 03:49:00,FDE_F_System1,RMA_M_System1
223,2982,Descent,2008-06-02 03:49:00,FDE_A_System1,RMA_M_System1
224,2982,Power On,2008-10-26 15:22:00,FDE_Other02,RMA_Other00
225,2982,Power On,2008-10-26 15:22:00,FDE_Other02,RMA_Other00
226,2982,Climb,2008-12-10 19:48:00,FDE_A_System3,RMA_F_System3
227,2982,Climb,2008-12-10 19:48:00,FDE_E_System3,RMA_F_System3
228,2982,Preflight,2009-01-10 08:09:00,FDE_Other01,RMA_Other03
229,2982,Preflight,2009-01-10 08:09:00,FDE_Other01,RMA_Other03
230,2982,Preflight,2009-01-10 08:09:00,FDE_Other09,RMA_Other05
231,2982,Preflight,2009-02-14 22:22:00,FDE_Other05,RMA_N_System1
232,2982,,2009-02-14 22:22:00,FDE_F_System1,
233,2982,,2007-08-03 19:41:00,FDE_G_System1,
234,2982,Climb,2007-10-17 04:22:00,FDE_G_System4,RMA_I_System4
235,2982,Descent,2007-10-22 02:16:00,FDE_G_System3,RMA_D_System3
236,2982,Engine Start,2007-10-23 03:46:00,FDE_A_System4,RMA_E_System4
237,2982,Engine Start,2007-10-23 03:46:00,FDE_D_System4,RMA_E_System4
238,2982,Descent,2007-10-23 03:46:00,FDE_G_System3,RMA_D_System3
239,2982,Climb,2007-10-23 03:46:00,FDE_G_System4,RMA_I_System4
240,2982,Engine Start,2007-10-23 03:46:00,FDE_H_System4,RMA_E_System4
241,2982,Descent,2007-11-15 15:28:00,FDE_F_System3,RMA_K_System3
